記録対戦数,記録段位,記録点数,和了率,放銃率,ツモ率,ダマ率,流局率,流局聴牌率,副露率,立直率,和了巡数,平均和了,平均放銃,平均順位,飛び率,安定段位,点数期待,立直和了,立直放銃A,立直放銃B,立直収支,立直収入,立直支出,先制率,追っかけ率,追っかけられ率,立直巡目,立直流局,一発率,振聴率,立直多面,立直良形,最高段位,最高点数,最大連荘,裏ドラ率,痛い親かぶり率,痛い親かぶり平均,放銃時立直率,放銃時副露率,副露後放銃率,副露後和了率,副露後流局率,打点効率,銃点損失,調整打点効率,局収支,総計局数,和了時立直率,和了時副露率,和了時ダマ率
295,豪1,1311/2800,0.221,0.1478,0.3433,0.1881,0.1319,0.5125,0.2807,0.1778,12.129,5886.0,5421.0,2.654,0.0644,豪-2.51,-15.4 (85),0.4954,0.1429,0.115,2902.0,7761.0,6135.0,0.833,0.1669999999999999,0.1855,8.545,0.1447,0.2171999999999999,0.0056,0.7940999999999999,0.4564,豪1,2125/2800,5.0,0.2996,0.1086999999999999,10422.0,0.1719,0.2857,0.1503999999999999,0.3254999999999999,0.1398,1301.0,801.0,500.0,-120.0,3032.0,0.39856162895927605,0.41342918552036184,0.1881
1162,聖2,2802/6000,0.2139,0.1243,0.3653,0.0989,0.1384,0.4074,0.2828,0.2073,12.134,7009.0,5503.0,2.405,0.0749,豪3.95,-3.5 (790),0.489,0.1425,0.102,3067.0,8460.0,6851.0,0.8362999999999999,0.1637,0.2080999999999999,9.484,0.1457,0.1833,0.01,0.6774,0.4646,聖2,3704/6000,6.0,0.3363,0.1108,10612.0,0.2377,0.3198,0.1405,0.3233,0.1301999999999999,1499.0,684.0,816.0,91.0,12056.0,0.4739116409537167,0.4274391771856007,0.0989
123,豪1,1152/2800,0.2145,0.1419,0.3497999999999999,0.0608,0.1166,0.4825,0.2814,0.2537,12.666,6969.0,5974.0,2.602,0.122,豪-1.78,1.0 (3030),0.4661999999999999,0.1253999999999999,0.09,2815.0,8294.0,7272.0,0.7685,0.2314999999999999,0.2444,10.145,0.1479,0.2069,0.0161,0.7717,0.5047999999999999,豪1,2119/2800,4.0,0.3586,0.0968,10833.0,0.2241,0.3103,0.1565,0.2957,0.1072,1495.0,848.0,647.0,-122.0,1226.0,0.5513983216783216,0.38792531468531477,0.0608
654,豪1,1877/2800,0.187,0.1234,0.3883,0.1054,0.1473,0.3481,0.2294999999999999,0.1982,12.178,6956.0,5461.0,2.554,0.0795,豪-0.18,-4.5 (417),0.5135000000000001,0.142,0.1084,3215.0,8337.0,6817.0,0.7803,0.2196999999999999,0.1659,9.6,0.1323,0.1834,0.0097,0.7556,0.4709,豪2,2961/3200,5.0,0.2926,0.096,10573.0,0.2281,0.2473,0.133,0.2853,0.1465,1301.0,674.0,627.0,-116.0,6750.0,0.5442550802139038,0.35014090909090895,0.1054
643,豪1,880/2800,0.2059,0.1366,0.3725,0.1514,0.138,0.3849,0.3326,0.1495,12.075,6192.0,5518.0,2.61,0.0809,豪-1.73,-11.5 (77),0.5142,0.1336,0.1134,2955.0,7831.0,7298.0,0.8269,0.1730999999999999,0.2176,9.145,0.1356,0.1810999999999999,0.004,0.8239,0.5229,豪1,2465/2800,5.0,0.2971999999999999,0.1076,10610.0,0.1462,0.392,0.1611,0.2944,0.1297,1275.0,754.0,521.0,-145.0,6609.0,0.3733506556580864,0.47555823215152987,0.1514
1640,豪3,2526/3600,0.2261,0.1354,0.3735,0.1014,0.1336999999999999,0.4668,0.3528,0.1884,12.189,6349.0,5462.0,2.488,0.0732,豪1.48,-5.6 (447),0.5023,0.1303,0.099,3066.0,8052.0,7013.0,0.8353,0.1646999999999999,0.2102,9.335,0.1551,0.1953,0.0087,0.7089,0.4793,豪3,3431/3600,6.0,0.3259,0.1121,10669.0,0.1814,0.3761,0.1442999999999999,0.3076,0.1273,1435.0,739.0,696.0,36.0,17148.0,0.4185463069438302,0.4799702786377709,0.1014
998,豪2,614/3200,0.2330999999999999,0.1485999999999999,0.3585,0.1211999999999999,0.1247,0.5484,0.3824,0.1757999999999999,12.393,6340.0,5956.0,2.494,0.0872,豪0.96,-4.0 (154),0.5241,0.1368,0.1101999999999999,3198.0,8142.0,7209.0,0.8155,0.1845,0.2,9.547,0.1357,0.1828999999999999,0.0083,0.7373999999999999,0.4614999999999999,豪3,2824/3600,7.0,0.3245,0.1091,10628.0,0.1619,0.3827,0.1488,0.2946999999999999,0.1533,1478.0,885.0,592.0,-21.0,10268.0,0.3952671814671815,0.48345465465465476,0.1211999999999999
494,豪2,1837/3200,0.2082999999999999,0.1363,0.3911,0.2036,0.1353,0.5219,0.2822,0.1817,12.458,7002.0,5739.0,2.498,0.0911,豪1.40,-2.2 (837),0.494,0.139,0.1031,3000.0,8283.0,7030.0,0.7556999999999999,0.2443,0.1705,10.057,0.1422,0.2066,0.0118999999999999,0.8187000000000001,0.5992999999999999,豪2,3024/3200,4.0,0.3165,0.1009999999999999,11225.0,0.1852,0.2952,0.1426,0.2697,0.1719,1458.0,782.0,676.0,22.0,5070.0,0.4309159865578495,0.36538329332693253,0.2036
126,豪1,1791/2800,0.2061,0.143,0.3358,0.1439,0.127,0.4192,0.311,0.1802,12.191,7009.0,5529.0,2.444,0.0794,豪1.71,2.8 (358),0.5401,0.1392,0.1055,3397.0,8285.0,7085.0,0.8312,0.1687999999999999,0.2152,9.515,0.1139,0.25,0.0127,0.73,0.5232,豪1,2152/2800,4.0,0.3828,0.0892,10272.0,0.1755,0.3245,0.1491,0.2542999999999999,0.1442999999999999,1444.0,790.0,654.0,-12.0,1315.0,0.47222717127607955,0.38373265405143114,0.1439
1159,聖3,6431/9000,0.2157,0.1182,0.3689,0.2128999999999999,0.1374,0.4736999999999999,0.2764999999999999,0.157,12.492,6943.0,5305.0,2.323,0.0561,聖4.99,5.8 (441),0.5162,0.1289,0.0953999999999999,3467.0,8584.0,6709.0,0.7977,0.2023,0.1866,9.341,0.1347,0.1878,0.0084,0.7709999999999999,0.5544,聖3,6431/9000,6.0,0.3339999999999999,0.1014,10392.0,0.1712,0.3013,0.1289,0.3208,0.156,1497.0,627.0,870.0,213.0,12153.0,0.3757227630968938,0.4112248493277698,0.21289999999999992
143,豪1,488/2800,0.2286,0.1834,0.3772,0.0299,0.1135999999999999,0.6204999999999999,0.3901,0.2115,12.41,6643.0,5700.0,2.601,0.1119,豪-2.23,-15.9 (31),0.4531,0.165,0.1133,2721.0,8659.0,6784.0,0.7637999999999999,0.2362,0.2135999999999999,10.037,0.1682999999999999,0.2,0.0227,0.6926000000000001,0.4531,豪1,2064/2800,5.0,0.3714,0.1223,11233.0,0.1903,0.3731,0.1754,0.3228,0.1123,1519.0,1046.0,473.0,-120.0,1461.0,0.41920669291338575,0.5508498687664042,0.0299
186,豪1,815/2800,0.1896999999999999,0.1689,0.3887,0.1099,0.1213,0.5595,0.2464,0.2314,12.82,7645.0,5775.0,2.651,0.1344,豪-2.93,-19.1 (43),0.4203,0.1686,0.127,2569.0,9169.0,6947.0,0.7691,0.2309,0.1871,9.914,0.1617,0.2307999999999999,0.0092,0.7598,0.4272999999999999,豪1,1997/2800,4.0,0.3297,0.1042,11006.0,0.231,0.231,0.1583999999999999,0.2907,0.1215,1451.0,975.0,475.0,-180.0,1871.0,0.5126906694781236,0.377588191881919,0.10990000000000001
1052,豪2,2352/3200,0.2105,0.1198,0.3389999999999999,0.2274,0.1416,0.3325,0.3584,0.1177,11.878,5962.0,5223.0,2.539,0.0599,豪0.65,-4.8 (491),0.4893,0.143,0.1139,3069.0,8432.0,6655.0,0.7966,0.2034,0.2048999999999999,9.381,0.1391,0.2016,0.0060999999999999,0.7172,0.4619,豪2,2833/3200,5.0,0.3156,0.1016,10695.0,0.1405,0.3674,0.1227999999999999,0.2930999999999999,0.1369,1255.0,626.0,629.0,-76.0,11111.0,0.27358959619952494,0.49903581947743453,0.22739999999999996
1122,聖1,2091/4000,0.2075,0.1442999999999999,0.362,0.1973,0.1297,0.4913,0.2559,0.1951,12.698,7460.0,5464.0,2.393,0.074,聖1.37,1.3 (1485),0.5147999999999999,0.1372,0.1,3322.0,8425.0,6668.0,0.7729,0.2271,0.1855,10.02,0.1332,0.2115,0.0151,0.7857,0.5454,聖1,3493/4000,6.0,0.3164,0.1089,10599.0,0.1855,0.2669,0.1505,0.2585,0.1603,1548.0,788.0,760.0,122.0,11581.0,0.484036048192771,0.31879590361445787,0.1973
312,傑3,219/2000,0.2171999999999999,0.1959,0.3676,0.0853999999999999,0.1077999999999999,0.6589,0.3693999999999999,0.2182,12.683,7618.0,5859.0,2.529,0.1346,豪-0.79,5.6,0.4755,0.1484,0.098,3152.0,9037.0,7009.0,0.7434999999999999,0.2565,0.1859,10.385,0.1527,0.2152,0.013,0.7579,0.4352,豪2,2225/3200,5.0,0.3273,0.0993999999999999,10474.0,0.1653,0.366,0.1939999999999999,0.257,0.1115,1655.0,1147.0,507.0,-54.0,3181.0,0.4776892265193373,0.4370893186003685,0.0853999999999999
