記録対戦数,記録段位,記録点数,和了率,放銃率,ツモ率,ダマ率,流局率,流局聴牌率,副露率,立直率,和了巡数,平均和了,平均放銃,平均順位,飛び率,立直和了,立直放銃A,立直放銃B,立直収支,立直収入,立直支出,先制率,追っかけ率,追っかけられ率,立直巡目,立直流局,一発率,振聴率,立直多面,立直良形,最高段位,最高点数,最大連荘,裏ドラ率,痛い親かぶり率,痛い親かぶり平均,放銃時立直率,放銃時副露率,副露後放銃率,副露後和了率,副露後流局率,打点効率,銃点損失,調整打点効率,局収支,総計局数,和了時立直率,和了時副露率,和了時ダマ率
225,傑2,289/1400,0.20120000000000002,0.1449,0.348,0.057300000000000004,0.109,0.5122,0.29109999999999997,0.2158,12.052,6701,6038,2.578,0.12,0.501,0.1355,0.10060000000000001,2834,7885,7141,0.8316,0.1684,0.2053,9.479,0.1294,0.1967,0.0226,0.7885,0.4476,傑2,1366/1400,4,0.2992,0.1131,10793,0.2018,0.23850000000000002,0.11869999999999999,0.2801,0.1233,1348,875,473,-152,2257,0.5373548707753478,0.40525402584493037,0.05730000000000001
4387,豪1,1364/2800,0.23420000000000002,0.1555,0.3037,0.17329999999999998,0.09789999999999999,0.5647,0.3715,0.166,12.438,6823,5806,2.427,0.09,0.5065999999999999,0.13470000000000001,0.1008,3035,8160,6949,0.7605,0.2395,0.1906,9.924,0.1191,0.2225,0.0031,0.6859000000000001,0.4193,豪2,3103/3200,6,0.33030000000000004,0.11,10706,0.1438,0.3757,0.1572,0.2949,0.1047,1598,903,695,114,44151,0.3590760034158838,0.4677854397950469,0.17329999999999998
373,豪1,1328/2800,0.2584,0.1317,0.3095,0.08539999999999999,0.1023,0.467,0.4486,0.1522,12.031,6204,5867,2.375,0.0536,0.5717,0.1246,0.08869999999999999,3434,7896,7475,0.884,0.11599999999999999,0.1911,9.062,0.09390000000000001,0.209,0.0137,0.8173999999999999,0.5461,豪1,2445/2800,7,0.3552,0.115,10648,0.14400000000000002,0.4813,0.1413,0.3329,0.10189999999999999,1603,773,831,242,3850,0.33673660990712073,0.5779370743034055,0.08539999999999999
330,傑3,555/2000,0.20149999999999998,0.1409,0.32630000000000003,0.1293,0.1155,0.4882,0.2982,0.19820000000000002,12.565,6649,5906,2.567,0.1061,0.5199,0.11470000000000001,0.0933,2566,7034,7971,0.8471,0.15289999999999998,0.2798,8.995,0.10550000000000001,0.15289999999999998,0.0015,0.6804000000000001,0.42200000000000004,傑3,1356/2000,4,0.3618,0.0975,11350,0.1613,0.3312,0.1565,0.2429,0.1484,1340,832,508,-122,3300,0.5113855086848637,0.3594678908188586,0.1293
859,傑3,1000/2000,0.2353,0.16829999999999998,0.3171,0.0678,0.0941,0.6002000000000001,0.3931,0.19879999999999998,12.577,6533,5886,2.529,0.1013,0.5128,0.13449999999999998,0.092,3081,8184,6992,0.7386,0.2614,0.1886,10.150,0.1065,0.2168,0.0169,0.7673000000000001,0.467,豪1,2454/2800,7,0.3212,0.09789999999999999,10903,0.1588,0.39590000000000003,0.16949999999999998,0.2987,0.1054,1537,991,546,-39,8644,0.43325388865278364,0.4990181470463238,0.0678
773,豪1,1261/2800,0.2402,0.1699,0.336,0.0667,0.0904,0.5814,0.3309,0.2173,12.405,6745,6017,2.498,0.10220000000000001,0.5214,0.1409,0.0975,3280,8425,6666,0.7937000000000001,0.20629999999999998,0.2051,9.673,0.1005,0.2531,0.0113,0.8038,0.4828,豪1,1844/2800,5,0.3398,0.10439999999999999,10654,0.1802,0.3346,0.17170000000000002,0.3353,0.08,1620,1022,598,24,7742,0.4716911740216485,0.46190995004163193,0.0667
315,傑2,126/1400,0.2465,0.1789,0.302,0.0458,0.08349999999999999,0.7104,0.5746,0.1624,12.532,6259,6139,2.594,0.1143,0.504,0.11900000000000001,0.0933,3041,8067,7215,0.752,0.248,0.1925,9.665,0.11710000000000001,0.2205,0.006,0.7956,0.4603,傑3,1765/2000,6,0.36219999999999997,0.0983,10944,0.1081,0.5820000000000001,0.1812,0.267,0.09140000000000001,1543,1098,445,-61,3103,0.3320470588235294,0.6223862068965518,0.0458
377,傑2,547/1400,0.23120000000000002,0.1821,0.3273,0.0103,0.0894,0.6637000000000001,0.4765,0.2206,12.335,6817,6118,2.634,0.1512,0.49579999999999996,0.1386,0.1063,3057,8410,6710,0.7885,0.2115,0.2115,9.661,0.1183,0.1807,0.0131,0.6822,0.40979999999999994,傑3,1145/2000,6,0.3398,0.09609999999999999,10712,0.1679,0.508,0.1941,0.2506,0.0968,1576,1114,462,-127,3794,0.47306868512110717,0.5164831314878893,0.0103
485,豪1,620/2800,0.21170000000000003,0.14880000000000002,0.3124,0.13419999999999999,0.113,0.43119999999999997,0.2262,0.1978,12.609,7499,5542,2.431,0.08039999999999999,0.5524,0.12890000000000001,0.0901,3775,8698,6861,0.7998000000000001,0.2002,0.19920000000000002,9.752,0.1027,0.1954,0.0105,0.7862,0.4727,豪1,1875/2800,5,0.3283,0.1023,10838,0.17129999999999998,0.24789999999999998,0.1632,0.3272,0.12369999999999999,1587,825,762,117,4824,0.5161299952763343,0.3496109589041096,0.13419999999999999
466,豪2,1395/3200,0.20679999999999998,0.1217,0.3232,0.1189,0.124,0.3831,0.3071,0.1747,12.430,6635,5658,2.481,0.0472,0.5415,0.1276,0.09630000000000001,3441,8340,7322,0.8075,0.1925,0.2347,9.403,0.1155,0.1889,0.0036,0.7484999999999999,0.47409999999999997,豪2,2839/3200,5,0.3,0.0926,10398,0.18309999999999998,0.35409999999999997,0.14029999999999998,0.2854,0.13140000000000002,1372,689,684,10,4758,0.4574470502901354,0.4238217601547388,0.1189
